ConsumptionID,completedatetime
1,2022-05-18 04:10:24
2,2022-05-17 13:19:36
3,2022-05-18 00:09:50
4,2022-05-18 23:53:00
5,2022-05-17 12:33:06
6,2022-05-18 18:28:25
7,2022-05-18 18:29:32
8,2022-05-19 17:52:25
9,2022-05-20 00:09:55
10,2022-05-19 07:39:40
11,2022-05-17 23:16:55
12,2022-05-19 22:34:20
13,2022-05-17 16:40:07
14,2022-05-20 06:35:58
15,2022-05-17 12:50:02
16,2022-05-18 09:21:08
17,2022-05-18 07:28:57
18,2022-05-18 22:28:39
19,2022-05-18 00:53:49
20,2022-05-18 23:52:49
21,2022-05-18 13:33:48
22,2022-05-17 21:13:06
23,2022-05-18 00:44:41
24,2022-05-19 22:36:18
25,2022-05-18 06:08:14
26,2022-05-18 15:30:55
27,2022-05-19 11:38:13
28,2022-05-18 08:48:05
29,2022-05-20 07:13:04
30,2022-05-18 07:20:04
31,2022-05-17 14:42:58
32,2022-05-18 21:11:54
33,2022-05-17 22:03:59
34,2022-05-19 07:21:11
35,2022-05-20 01:08:20
36,2022-05-18 16:56:54
37,2022-05-18 13:17:06
38,2022-05-17 22:30:52
39,2022-05-18 10:20:29
40,2022-05-18 04:08:33
41,2022-05-19 13:05:16
42,2022-05-18 00:31:16
43,2022-05-18 03:34:19
44,2022-05-19 05:26:12
45,2022-05-18 07:47:48
46,2022-05-18 22:25:57
47,2022-05-20 00:34:26
48,2022-05-18 07:50:43
49,2022-05-19 19:31:12
50,2022-05-20 02:44:54
51,2022-05-18 08:37:09
52,2022-05-18 21:53:42
53,2022-05-17 15:41:27
54,2022-05-18 07:37:29
55,2022-05-18 14:58:31
56,2022-05-18 08:49:34
57,2022-05-17 13:38:05
58,2022-05-17 20:23:59
59,2022-05-17 19:23:44
60,2022-05-18 21:36:29
61,2022-05-19 07:49:57
62,2022-05-18 10:20:39
63,2022-05-17 23:39:35
64,2022-05-18 08:49:18
65,2022-05-18 22:13:19
66,2022-05-19 09:36:08
67,2022-05-18 19:46:53
68,2022-05-17 16:02:15
69,2022-05-17 20:28:50
70,2022-05-19 13:54:34
71,2022-05-17 18:18:19
72,2022-05-20 05:18:47
73,2022-05-18 21:54:42
74,2022-05-19 17:12:39
75,2022-05-17 19:19:11
76,2022-05-17 20:49:32
77,2022-05-19 04:44:09
78,2022-05-19 14:33:34
79,2022-05-18 01:11:15
80,2022-05-17 17:25:48
81,2022-05-18 00:14:02
82,2022-05-18 15:45:58
83,2022-05-19 19:01:32
84,2022-05-19 01:18:56
85,2022-05-19 21:45:18
86,2022-05-19 22:17:28
87,2022-05-20 07:56:32
88,2022-05-20 02:13:31
89,2022-05-18 01:33:49
90,2022-05-17 21:25:47
91,2022-05-19 05:59:41
92,2022-05-19 09:14:11
93,2022-05-18 09:26:26
94,2022-05-20 02:49:40
95,2022-05-20 01:05:46
96,2022-05-18 09:30:58
97,2022-05-20 04:36:38
98,2022-05-20 06:57:09
99,2022-05-18 23:03:01
100,2022-05-18 06:00:48
101,2022-05-19 01:11:43
102,2022-05-19 22:27:56
103,2022-05-17 23:33:03
104,2022-05-18 09:50:39
105,2022-05-19 17:19:11
106,2022-05-19 16:44:59
107,2022-05-18 11:16:15
108,2022-05-19 18:04:40
109,2022-05-18 10:08:52
110,2022-05-17 14:27:19
111,2022-05-18 11:37:09
112,2022-05-18 07:22:40
113,2022-05-19 03:28:03
114,2022-05-18 06:12:28
115,2022-05-18 19:59:25
116,2022-05-19 05:13:44
117,2022-05-20 02:17:24
118,2022-05-19 20:06:33
119,2022-05-19 01:28:25
120,2022-05-18 14:50:30
121,2022-05-18 05:39:16
122,2022-05-19 10:45:30
123,2022-05-19 18:18:58
124,2022-05-18 00:39:59
125,2022-05-19 23:13:12
126,2022-05-19 15:25:49
127,2022-05-18 05:48:53
128,2022-05-17 20:11:32
129,2022-05-18 21:24:41
130,2022-05-19 07:33:28
131,2022-05-20 03:43:02
132,2022-05-17 12:36:13
133,2022-05-20 06:24:45
134,2022-05-18 04:57:51
135,2022-05-19 20:55:47
136,2022-05-20 04:01:28
137,2022-05-18 04:21:35
138,2022-05-18 15:18:29
139,2022-05-18 12:05:52
140,2022-05-19 12:17:25
141,2022-05-18 03:46:21
142,2022-05-20 04:39:55
143,2022-05-17 19:10:53
144,2022-05-20 04:05:45
145,2022-05-18 04:43:03
146,2022-05-18 04:47:03
147,2022-05-17 15:03:18
148,2022-05-19 19:40:21
149,2022-05-17 22:45:45
150,2022-05-20 04:12:42
151,2022-05-19 19:00:13
152,2022-05-17 21:18:12
153,2022-05-19 17:14:27
154,2022-05-18 23:37:48
155,2022-05-19 15:51:18
156,2022-05-18 04:46:28
157,2022-05-19 16:48:26
158,2022-05-19 19:59:19
159,2022-05-18 10:19:47
160,2022-05-20 06:00:45
161,2022-05-19 19:23:18
162,2022-05-19 16:41:58
163,2022-05-20 03:08:25
164,2022-05-17 14:34:04
165,2022-05-19 01:53:44
166,2022-05-18 12:35:15
167,2022-05-19 14:50:49
168,2022-05-18 11:00:54
169,2022-05-20 01:35:03
170,2022-05-17 12:47:38
171,2022-05-19 05:11:22
172,2022-05-19 06:35:42
173,2022-05-18 02:09:43
174,2022-05-17 17:54:23
175,2022-05-19 13:30:24
176,2022-05-17 16:56:46
177,2022-05-18 13:31:55
178,2022-05-18 04:49:59
179,2022-05-17 19:56:07
180,2022-05-20 08:05:15
181,2022-05-18 07:11:48
182,2022-05-17 19:10:01
183,2022-05-18 10:50:52
184,2022-05-17 13:07:26
185,2022-05-17 19:23:55
186,2022-05-19 16:44:25
187,2022-05-20 03:57:15
188,2022-05-18 21:51:24
189,2022-05-18 16:27:12
190,2022-05-18 02:24:00
191,2022-05-17 23:38:40
192,2022-05-19 22:43:10
193,2022-05-18 03:49:25
194,2022-05-18 09:01:46
195,2022-05-19 01:33:59
196,2022-05-18 04:17:31
197,2022-05-17 21:45:33
