ConsumptionID,AccountNum,NoOfUnits,SmartMeterPerc,entrant,Date
1,20755,742.57,0,0,07/01/2016
2,19492,952.99,0.1,0,07/01/2016
3,19491,761.44,0.1,0,07/01/2016
4,19490,861.32,0.1,0,07/01/2016
5,19489,731.61,0,0,07/01/2016
6,19488,837.24,0.1,0,07/01/2016
7,19487,679.04,0,0,07/01/2016
8,19486,1044.65,0,0,07/01/2016
9,19485,713.9,0.2,0,07/01/2016
10,19484,734.43,0.4,0,07/01/2016
11,19483,742.69,0,0,07/01/2016
12,19482,924.04,0,0,07/01/2016
13,19481,776.62,0,0,07/01/2016
14,19480,990.59,0,0,07/01/2016
15,19479,870.61,0,0,07/01/2016
16,19478,747.02,0.1,0,07/01/2016
17,19477,699.01,0,0,07/01/2016
18,19476,932.84,0,0,07/01/2016
19,19475,573.69,0.1,0,07/01/2016
20,19474,901.33,0,0,07/01/2016
21,19473,902.07,0,0,07/01/2016
22,19472,686.59,0.2,0,07/01/2016
23,19471,860.28,0,0,07/01/2016
24,19470,859.83,0,0,07/01/2016
25,19469,773.65,0,0,07/01/2016
26,19468,808.93,0.2,0,07/01/2016
27,19467,890.69,0,0,07/01/2016
28,19466,765.32,0.1,0,07/01/2016
29,19465,657.97,0.2,0,07/01/2016
30,19464,816.77,0,0,07/01/2016
31,19463,988.62,0.2,0,07/01/2016
32,19462,733.55,0.15,0,07/01/2016
33,19461,682.75,0.3,0,07/01/2016
34,19460,1009.31,0.1,0,07/01/2016
35,19459,764.79,0.2,0,07/01/2016
36,19458,643.52,0,0,07/01/2016
37,19457,554.38,0,0,07/01/2016
38,19456,823.05,0.5,0,07/01/2016
39,19455,640.25,0,0,07/01/2016
40,19454,689.76,0.1,0,07/01/2016
41,19453,813.69,0.17,0,07/01/2016
42,19452,821.69,0,0,07/01/2016
43,19451,664.68,0,0,07/01/2016
44,19450,1054.58,0,0,07/01/2016
45,19449,1042.81,0.2,0,07/01/2016
46,19448,929.46,0,0,07/01/2016
47,19447,673.08,0.1,0,07/01/2016
48,19446,713.62,0,0,07/01/2016
49,9083,704.72,0,0,07/01/2016
50,4741,794.74,0,0,07/01/2016
51,639,829.78,0.2,0,07/01/2016
52,9702,953.19,0,0,07/01/2016
53,9114,585.55,0.2,0,07/01/2016
54,1362,633.97,0,0,07/01/2016
55,8011,820.54,0,0,07/01/2016
56,3296,750.39,0,0,07/01/2016
57,3182,672.37,0,0,07/01/2016
58,7864,685.43,0,0,07/01/2016
59,11169,662.29,0.1,0,07/01/2016
60,5197,725.53,0.2,0,07/01/2016
61,1535,878.69,0,0,07/01/2016
62,6122,898.5,0,0,07/01/2016
63,9451,893.27,0,0,07/01/2016
64,542,533.3,0,0,07/01/2016
65,11329,518.49,0,0,07/01/2016
66,3570,794.89,0,0,07/01/2016
67,650,711.53,0,0,07/01/2016
68,9353,1010.55,0,0,07/01/2016
69,54,845.12,0,0,07/01/2016
70,12151,714.65,0,0,07/01/2016
71,10018,704.64,0,0,07/01/2016
72,4936,690.69,0,0,07/01/2016
73,8707,704.75,0,0,07/01/2016
74,1025,873.04,0.47,0,07/01/2016
75,8831,862.83,0.1,0,07/01/2016
76,10679,534.35,0.1,0,07/01/2016
77,5007,666.23,0,0,07/01/2016
78,9854,780.66,0,0,07/01/2016
79,376,700.32,0,0,07/01/2016
80,5417,388.17,0,0,07/01/2016
81,10759,637.24,0.1,0,07/01/2016
82,8541,868.51,0,0,07/01/2016
83,3752,956.49,0,0,07/01/2016
84,4673,613.67,0.3,0,07/01/2016
85,5367,556.77,0,0,07/01/2016
86,10485,719.97,0.17,0,07/01/2016
87,9272,722.55,0,0,07/01/2016
88,647,755.85,0.1,0,07/01/2016
89,6398,912.5,0,0,07/01/2016
90,4209,592.68,0,0,07/01/2016
91,8917,697.17,0,0,07/01/2016
92,7784,631.85,0,0,07/01/2016
93,1425,627.3,0.1,0,07/01/2016
94,2737,686,0,0,07/01/2016
95,6428,755.81,0.25,0,07/01/2016
96,6543,875.98,0,0,07/01/2016
97,3990,729.06,0,0,07/01/2016
98,8524,698.35,0.1,0,07/01/2016
99,9204,621.6,0.15,0,07/01/2016
100,11761,1123.53,0.1,0,07/01/2016
